Age,Gender,Education Level,Years of Experience,Job Role,Industry,Current Job Title,Income Level,Location,AI Upskilling,AI Upskilling Type,Success in Hiring Process,Percentage Hike in Salary
50,Male,High School,11,Analyst,IT,Teacher,Medium,City_C,1,Workshops,1,25.830820126664005
36,Female,Bachelor's,8,Analyst,Finance,Software Developer,Medium,City_A,1,Certifications,0,3.280135280255731
29,Male,Bachelor's,10,Consultant,Finance,Teacher,Low,City_C,1,Workshops,1,8.364135583173068
42,Female,Bachelor's,19,Engineer,IT,Teacher,Medium,City_B,1,Online Courses,1,18.78141229483879
40,Male,High School,11,Analyst,Healthcare,Financial Analyst,Low,City_C,1,Certifications,0,29.00670933336781
44,Female,Ph.D.,7,Consultant,Finance,Teacher,Low,City_C,1,Workshops,0,24.465798966856326
32,Female,Master's,11,Analyst,Education,Financial Analyst,Low,City_C,1,Certifications,0,8.339881936771066
32,Female,High School,17,Engineer,Finance,Teacher,Medium,City_C,1,Workshops,0,23.63566242424691
45,Female,Bachelor's,1,Consultant,IT,Teacher,High,City_B,1,Certifications,0,9.637289204959039
57,Female,Bachelor's,26,Consultant,Healthcare,Nurse,High,City_A,1,Workshops,1,28.117211275850543
45,Female,High School,29,Consultant,IT,Teacher,Medium,City_B,1,Online Courses,1,17.458642649401842
24,Male,High School,21,Analyst,Education,Financial Analyst,High,City_B,1,Workshops,0,21.698230005436358
43,Female,Bachelor's,21,Engineer,Finance,Financial Analyst,Low,City_A,1,Certifications,1,10.24375102023485
23,Male,Ph.D.,8,Consultant,Finance,Software Developer,High,City_C,1,Certifications,1,3.3561100099243673
45,Male,Bachelor's,23,Manager,IT,Software Developer,Medium,City_A,1,Online Courses,0,2.1338007473725145
51,Female,Bachelor's,24,Engineer,IT,Nurse,High,City_A,1,Certifications,0,20.43745945529794
59,Male,High School,6,Manager,Education,Financial Analyst,Low,City_B,1,Online Courses,0,1.9553018753925266
23,Female,Ph.D.,22,Manager,Healthcare,Financial Analyst,Low,City_A,1,Certifications,1,14.128853842581378
42,Male,Bachelor's,18,Consultant,Education,Financial Analyst,Medium,City_C,1,Certifications,0,3.5070644210476196
54,Female,Bachelor's,6,Consultant,Healthcare,Nurse,Medium,City_B,1,Online Courses,1,14.080172730215342
33,Male,Master's,5,Analyst,Finance,Financial Analyst,Medium,City_C,1,Certifications,1,9.087506268708001
43,Female,High School,13,Analyst,Healthcare,Software Developer,Low,City_B,1,Certifications,1,7.095894291653269
46,Female,Master's,19,Analyst,Healthcare,Nurse,High,City_C,1,Online Courses,1,11.582972418994553
48,Female,Master's,22,Engineer,Finance,Software Developer,High,City_A,1,Workshops,0,7.350068713247534
49,Female,Bachelor's,8,Analyst,Finance,Software Developer,Medium,City_A,1,Online Courses,1,33.848807050362595
37,Male,High School,9,Manager,Finance,Nurse,High,City_A,1,Certifications,0,12.13429943736751
36,Female,Ph.D.,17,Analyst,Education,Teacher,High,City_C,1,Workshops,1,20.999949709747156
24,Male,Bachelor's,3,Consultant,Finance,Teacher,Medium,City_B,1,Workshops,0,21.828148257978278
58,Male,Ph.D.,19,Analyst,IT,Software Developer,Medium,City_B,1,Workshops,0,10.579738601875162
28,Male,Ph.D.,11,Engineer,Finance,Teacher,Low,City_B,1,Online Courses,0,21.46753576003117
42,Female,High School,24,Engineer,Finance,Financial Analyst,Low,City_A,1,Workshops,1,26.77005050647274
30,Male,Master's,17,Manager,Finance,Nurse,Low,City_C,1,Workshops,1,24.44632354587908
39,Male,High School,21,Engineer,Healthcare,Software Developer,Low,City_B,1,Workshops,1,9.155238288105108
25,Male,Ph.D.,19,Analyst,Education,Financial Analyst,High,City_C,1,Certifications,0,1.361510325555231
46,Female,Bachelor's,2,Consultant,Finance,Teacher,High,City_B,1,Online Courses,1,23.44505000148427
35,Female,Ph.D.,8,Engineer,Education,Financial Analyst,Low,City_A,1,Online Courses,1,23.496738309324222
30,Male,Bachelor's,19,Manager,IT,Teacher,Low,City_C,1,Certifications,1,27.106953373672454
47,Female,Bachelor's,7,Analyst,IT,Software Developer,Medium,City_B,1,Workshops,0,9.473826214346433
23,Female,High School,28,Manager,Finance,Financial Analyst,High,City_B,1,Certifications,1,9.585122150163249
41,Male,Ph.D.,27,Engineer,IT,Nurse,High,City_B,1,Certifications,1,26.492629359782264
49,Male,Master's,17,Engineer,Education,Software Developer,Low,City_B,1,Workshops,0,24.899303969217865
28,Female,Ph.D.,6,Manager,Healthcare,Financial Analyst,High,City_A,1,Workshops,0,22.668640625639203
29,Male,Ph.D.,19,Analyst,Finance,Financial Analyst,Medium,City_B,1,Online Courses,0,23.57254009976504
56,Female,Master's,24,Engineer,IT,Teacher,Medium,City_B,1,Workshops,0,7.983073741502659
35,Female,High School,6,Consultant,Education,Software Developer,High,City_A,1,Certifications,0,6.670844645098704
38,Female,Ph.D.,28,Engineer,Education,Software Developer,Low,City_B,1,Certifications,0,16.55453913364142
57,Female,Ph.D.,2,Analyst,IT,Software Developer,High,City_C,1,Workshops,1,7.171089727003247
25,Female,Bachelor's,6,Engineer,Education,Software Developer,Medium,City_C,1,Online Courses,1,27.941149367445842
23,Female,Ph.D.,23,Manager,Education,Teacher,Low,City_B,1,Certifications,0,10.342441715943238
27,Male,Master's,5,Engineer,Finance,Nurse,High,City_A,1,Workshops,1,2.250643336679912
25,Male,Bachelor's,19,Engineer,Education,Software Developer,Low,City_A,1,Online Courses,0,5.063129614004415
50,Female,High School,20,Analyst,IT,Teacher,Low,City_A,1,Online Courses,1,29.366486147371102
39,Female,Bachelor's,4,Manager,Finance,Nurse,Medium,City_B,1,Certifications,0,29.87823976463564
47,Female,Master's,22,Analyst,IT,Nurse,Low,City_B,1,Certifications,0,2.4455262382228335
55,Male,Master's,26,Engineer,Healthcare,Teacher,High,City_C,1,Online Courses,1,9.784856612003397
31,Female,Bachelor's,17,Consultant,IT,Software Developer,Low,City_A,1,Online Courses,1,31.75867466068529
57,Male,High School,11,Engineer,IT,Nurse,Low,City_B,1,Online Courses,1,15.692598238786381
35,Female,Bachelor's,4,Analyst,Finance,Software Developer,High,City_B,1,Workshops,1,18.92114451328882
52,Female,High School,26,Consultant,Education,Software Developer,Medium,City_B,1,Certifications,1,6.214272555938925
36,Male,Bachelor's,13,Analyst,IT,Financial Analyst,Medium,City_A,1,Online Courses,1,1.5276583038032556
29,Male,Master's,20,Analyst,Finance,Software Developer,High,City_A,1,Certifications,1,18.628114073395707
35,Female,Ph.D.,26,Manager,Healthcare,Financial Analyst,High,City_C,1,Certifications,1,7.712179330768517
44,Female,Ph.D.,17,Consultant,Finance,Nurse,Medium,City_A,1,Certifications,0,2.6785052506432354
42,Female,High School,9,Engineer,Finance,Teacher,Low,City_B,1,Online Courses,1,26.263024019750212
37,Male,High School,4,Analyst,Education,Financial Analyst,High,City_C,1,Workshops,1,15.941773063744815
39,Male,High School,23,Engineer,IT,Teacher,Low,City_A,1,Online Courses,0,1.8397106052152825
45,Male,Master's,28,Manager,Healthcare,Nurse,High,City_A,1,Certifications,0,4.937264404937569
47,Male,Bachelor's,14,Manager,Finance,Software Developer,Medium,City_A,1,Online Courses,0,1.2075704829750429
46,Male,Master's,19,Consultant,IT,Nurse,Low,City_A,1,Online Courses,0,4.121266593861135
50,Male,Ph.D.,26,Manager,IT,Teacher,Low,City_B,1,Certifications,1,10.318913729066217
36,Female,High School,28,Manager,Finance,Nurse,High,City_A,1,Certifications,1,27.060813242330198
22,Female,Bachelor's,3,Engineer,IT,Software Developer,Low,City_B,1,Online Courses,0,8.99501164100884
46,Male,Ph.D.,14,Manager,Finance,Nurse,High,City_B,1,Online Courses,0,22.426041783441978
28,Female,Ph.D.,8,Manager,Finance,Software Developer,Medium,City_B,1,Online Courses,1,1.9449133761262158
30,Female,Ph.D.,24,Analyst,Finance,Financial Analyst,Low,City_C,1,Online Courses,1,9.91659192738199
45,Male,Master's,27,Manager,Healthcare,Teacher,High,City_B,1,Workshops,1,3.6777659805594003
22,Female,High School,28,Analyst,Finance,Software Developer,Low,City_A,1,Online Courses,1,20.683908998423778
29,Male,Ph.D.,1,Manager,Education,Software Developer,High,City_C,1,Workshops,0,1.0456040304753604
45,Male,High School,10,Manager,IT,Nurse,High,City_A,1,Certifications,1,4.676706061874763
32,Female,Master's,18,Consultant,Healthcare,Financial Analyst,High,City_B,1,Workshops,0,6.668289871355059
38,Male,Ph.D.,16,Consultant,IT,Software Developer,Medium,City_A,1,Certifications,0,21.819999181719076
29,Male,Master's,8,Analyst,Healthcare,Financial Analyst,Low,City_C,1,Workshops,0,20.788363855069342
56,Male,Master's,1,Manager,Education,Financial Analyst,Medium,City_C,1,Certifications,1,18.546120864689797
56,Male,High School,12,Engineer,Healthcare,Nurse,High,City_A,1,Online Courses,0,28.747225831252294
54,Male,Ph.D.,8,Consultant,Healthcare,Software Developer,High,City_A,1,Workshops,1,21.203851084684665
26,Male,Master's,24,Engineer,Healthcare,Nurse,Medium,City_A,1,Workshops,0,9.464389632723249
49,Male,Ph.D.,16,Consultant,IT,Teacher,Medium,City_C,1,Certifications,1,1.8378639868871538
28,Male,High School,18,Consultant,Finance,Teacher,Low,City_B,1,Certifications,0,3.7549356414185517
30,Female,Master's,4,Manager,IT,Software Developer,High,City_A,1,Workshops,0,5.169933452050239
29,Female,High School,6,Consultant,Finance,Financial Analyst,Medium,City_B,1,Certifications,1,10.153956059094256
33,Female,Ph.D.,12,Engineer,IT,Software Developer,High,City_C,1,Online Courses,1,5.879760803974663
55,Male,Ph.D.,27,Consultant,Education,Software Developer,High,City_A,1,Workshops,0,24.08244708464869
54,Male,High School,9,Analyst,Education,Teacher,Low,City_A,1,Online Courses,0,21.372019697902914
44,Female,Bachelor's,15,Manager,Healthcare,Teacher,Low,City_C,1,Workshops,1,11.375613153953179
45,Female,Master's,16,Manager,Education,Financial Analyst,Low,City_A,1,Online Courses,0,6.200393556444525
58,Female,Ph.D.,24,Analyst,Healthcare,Financial Analyst,Medium,City_B,1,Workshops,1,2.0238554953978896
56,Male,Ph.D.,12,Analyst,Finance,Software Developer,High,City_C,1,Certifications,1,27.251784826827276
43,Female,Master's,24,Analyst,Education,Nurse,Medium,City_C,1,Workshops,0,4.20604198740438
48,Female,High School,23,Consultant,Finance,Software Developer,Medium,City_A,1,Online Courses,1,23.210308305613825
56,Male,High School,14,Manager,IT,Financial Analyst,Low,City_C,1,Workshops,0,18.98175914337154
22,Female,High School,13,Analyst,Finance,Nurse,High,City_A,1,Online Courses,1,5.324782088425675
56,Male,Bachelor's,25,Consultant,IT,Teacher,High,City_A,1,Online Courses,1,1.1258271265556066
58,Male,Bachelor's,2,Analyst,Finance,Financial Analyst,Low,City_C,1,Online Courses,0,4.949530642757178
